,CLTV,FICO,accountID,age,date,line,name,nr,seg,zip,CLTV_M
0,0.950318507100965,617,5650441562091,10.0,2010-05-31,SR,Sarah Keith,9,PJ,74064,0.950318507100965
1,0.950318507100965,617,5650441562091,10.0,2010-06-30,SR,Sarah Keith,9,PJ,74064,
2,0.950318507100965,617,5650441562091,10.0,2010-07-31,SR,Sarah Keith,9,PJ,74064,
3,0.950318507100965,617,5650441562091,10.0,2010-08-31,SR,Sarah Keith,9,PJ,74064,0.950318507100965
4,0.950318507100965,617,5650441562091,10.0,2010-09-30,SR,Sarah Keith,9,PJ,,0.950318507100965
5,0.9742153933546147,633,2938128151817,718.0,2010-04-30,JR,Matthew Hill,8,PJ,,0.9742153933546147
6,0.9742153933546147,633,2938128151817,718.0,2010-05-31,JR,Matthew Hill,8,PJ,11670,0.9742153933546147
7,0.9742153933546147,633,2938128151817,718.0,2010-06-30,JR,Matthew Hill,8,PJ,,0.9742153933546147
8,0.9742153933546147,633,2938128151817,718.0,2010-07-31,JR,Matthew Hill,8,PJ,11670,0.9742153933546147
9,0.9742153933546147,633,2938128151817,718.0,2010-08-31,JR,Matthew Hill,8,PJ,11670,0.9742153933546147
10,0.21830942713884793,766,1211143412677,591.0,2009-07-31,SR,Michael Everett,7,PJ,,0.21830942713884793
11,0.21830942713884793,766,1211143412677,591.0,2009-08-31,SR,Michael Everett,7,PJ,26672,0.21830942713884793
12,0.21830942713884793,766,1211143412677,591.0,2009-09-30,SR,Michael Everett,7,PJ,26672,0.21830942713884793
13,0.21830942713884793,766,1211143412677,591.0,2009-10-31,SR,Michael Everett,7,PJ,26672,
14,0.21830942713884793,766,1211143412677,591.0,2009-11-30,SR,Michael Everett,7,PJ,26672,0.21830942713884793
15,0.480774964838553,704,0103335819764,298.0,2009-06-30,JR,Michael Anderson,6,PJ,34753,0.480774964838553
16,0.480774964838553,704,0103335819764,298.0,2009-07-31,JR,Michael Anderson,6,PJ,34753,
17,0.480774964838553,704,0103335819764,298.0,2009-08-31,JR,Michael Anderson,6,PJ,34753,
18,0.480774964838553,704,0103335819764,298.0,2009-09-30,JR,Michael Anderson,6,PJ,34753,0.480774964838553
